speaker,private_bank,firstname,Info
AARONSON ,0,Stephanie,https://www.brookings.edu/experts/stephanie-aaronson/
AHMED ,0,Ezra,https://www.linkedin.com/in/ezra-ahmed-6292b414/
ALVAREZ ,0,Scott,https://www.federalreserve.gov/newsevents/pressreleases/other20170208a.htm
ANGULO ,0,Arthur,https://www.newyorkfed.org/newsevents/news/aboutthefed/2004/oa040107a
BARRON ,0,Pat,https://www.atlantafed.org/news/pressreleases/staff-and-directors/1996/960212
BASSETT ,0,Bassett,
BERNANKE ,0,Ben,
BIES ,1,Susan,https://www.federalreservehistory.org/people/susan-s-bies
BOEHNE ,0,Edward,https://www.federalreservehistory.org/people/edward-g-boehne
BRAYTON ,0,Flint,https://www.linkedin.com/in/flint-brayton-43610a15a/
BROADDUS ,0,J. Alfred,
BULLARD ,0,James,
CLOUSE ,0,James,https://www.federalreserve.gov/econres/james-a-clouse.htm
COVITZ ,0,Daniel,https://www.federalreserve.gov/econres/daniel-m-covitz.htm
CROUSHORE ,0,Dean,https://assets.richmond.edu/files/faculty-staff-bio/business/Croushore%20CV_2014.pdf
CUMMING ,0,Christine,https://www.newyorkfed.org/newsevents/news/aboutthefed/2014/oa141022
DANKER ,0,Deborah,
DOYLE ,0,Brian,https://www.federalreserve.gov/econres/brian-m-doyle.htm
DUDLEY ,1,William,"Prior to joining the Bank in 2007, Mr. Dudley was a partner and managing director at Goldman, Sachs & Company and was the firm's chief U.S. economist for a decade."
DUKE ,1,Elizabeth,https://www.federalreservehistory.org/people/elizabeth-a-duke
ELMENDORF ,0,Douglas,https://apps.hks.harvard.edu/faculty/cv/DouglasElmendorf.pdf
ELSASSER ,0,Robert,https://www.linkedin.com/in/bob-elsasser-49697974/
ENGLISH ,0,William,https://som.yale.edu/faculty/william-b-english
EVANS ,0,Charles,
FERGUSON ,0,Roger,
FISHER ,1,Richard,Fisher began his career in 1975 at the private bank of Brown Brothers Harriman & Co
FOX ,0,Lynn,Assistant Secretary
